Tue Jun 27 21:52:45 2023    profiling_result.prof

         3524618 function calls (3519948 primitive calls) in 8.095 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3729    0.001    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\polyglot.py:279(hash_turn)
      129    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:391(cached)
      635    0.001    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:1416(legal_moves)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\dataclasses.py:1156(dataclass)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\dataclasses.py:1174(wrap)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\dataclasses.py:881(_process_class)
       35    0.000    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\typing.py:483(Union)
       68    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\random.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:3556(__repr__)
       21    0.000    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:3557(<genexpr>)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:321(<listcomp>)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\base64.py:1(<module>)
       38    0.000    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\typing.py:1138(__getitem__)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\logging\__init__.py:445(StrFormatStyle)
       61    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:320(<listcomp>)
        3    0.001    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\dataclasses.py:412(_create_fn)
      219    0.001    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\typing.py:146(_type_check)
       22    0.000    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\typing.py:523(Optional)
      770    0.001    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\typing.py:986(__setattr__)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\fnmatch.py:1(<module>)
       12    0.000    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\enum.py:553(<listcomp>)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\string.py:1(<module>)
       82    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\asyncio\sslproto.py:1(<module>)
       20    0.000    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:2627(san)
       20    0.000    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:2644(_algebraic)
       47    0.000    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\typing.py:1147(copy_with)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\dataclasses.py:527(_init_fn)
        7    0.000    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\collections\__init__.py:328(namedtuple)
        1    0.000    0.000    0.001    0.001 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\string.py:69(__init_subclass__)
     4377    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      187    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       20    0.000    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\site-packages\chess\__init__.py:2649(_algebraic_and_push)
      955    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       70    0.000    0.000    0.001    0.000 {method 'remove' of 'list' objects}
      865    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
       44    0.001    0.000    0.001    0.000 C:\Users\trung\anaconda3\envs\ChessAIProject\lib\sre_compile.py:292(_optimize_charset)
      269    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFD37ADAD50}
